epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1387,0.87353,1.08702,2.0204,0.85241,0,0.9668,0.64109,0.94882,0.76489,0.96171,0.63764,0.94281,0.65265,0.72709,0.93306,1.88212,0.82372,0,0.000472118,0.000472118,0.000472118
2,34.8337,0.76564,0.89569,0.94957,0.83479,0,0.95413,0.96493,0.98469,0.7977,0.95064,0.96167,0.98085,0.7373,0.71103,0.93631,0.66929,0.82758,0,0.000939062,0.000939062,0.000939062
3,51.3352,0.7548,0.87345,0.76508,0.83215,0,0.96716,0.96758,0.99127,0.79996,0.96224,0.96933,0.99054,0.72889,0.71593,0.9023,0.53912,0.82871,0,0.00139657,0.00139657,0.00139657
4,67.8536,0.72158,0.85541,0.69199,0.82654,0,0.98493,0.97868,0.99193,0.83949,0.98142,0.97558,0.98769,0.72526,0.61654,0.79354,0.49734,0.80835,0,0.00138656,0.00138656,0.00138656
5,84.194,0.71201,0.84468,0.60056,0.82576,0,0.97972,0.98841,0.99287,0.84826,0.97387,0.9878,0.99222,0.74022,0.62096,0.80297,0.45482,0.81181,0,0.00137241,0.00137241,0.00137241
6,100.614,0.69234,0.81771,0.56074,0.82377,0,0.97733,0.97553,0.99099,0.81264,0.97384,0.97207,0.98936,0.68223,0.72733,0.86879,0.48097,0.83451,0,0.00135826,0.00135826,0.00135826
7,116.959,0.68531,0.81187,0.52748,0.82247,0,0.98575,0.99127,0.99368,0.83179,0.98399,0.98954,0.99293,0.73016,0.69088,0.83702,0.43996,0.82003,0,0.00134412,0.00134412,0.00134412
8,133.303,0.66191,0.79647,0.49898,0.81981,0,0.98114,0.99012,0.99186,0.849,0.97772,0.98666,0.98831,0.73692,0.60706,0.81845,0.41801,0.80673,0,0.00132997,0.00132997,0.00132997
9,149.667,0.67534,0.78843,0.49132,0.81956,0,0.97822,0.9874,0.99268,0.86641,0.97483,0.98398,0.99191,0.75474,0.58427,0.83425,0.40755,0.80224,0,0.00131582,0.00131582,0.00131582
10,166.16,0.65058,0.7686,0.46623,0.8179,0,0.98577,0.98981,0.99265,0.85713,0.9823,0.98635,0.99081,0.71591,0.59535,0.84926,0.39335,0.80872,0,0.00130168,0.00130168,0.00130168
11,182.552,0.63597,0.75609,0.45331,0.81592,0,0.984,0.98825,0.99418,0.85952,0.98226,0.98653,0.99174,0.72727,0.60848,0.77205,0.41125,0.80885,0,0.00128753,0.00128753,0.00128753
12,198.887,0.63836,0.73726,0.44573,0.8148,0,0.98518,0.9889,0.99427,0.86883,0.98176,0.98544,0.99276,0.73708,0.5586,0.77193,0.38451,0.80181,0,0.00127338,0.00127338,0.00127338
13,215.261,0.63688,0.76586,0.43356,0.8164,0,0.98665,0.9958,0.99467,0.87369,0.98493,0.99408,0.99419,0.76537,0.56445,0.76501,0.36437,0.80124,0,0.00125923,0.00125923,0.00125923
14,231.548,0.6343,0.74723,0.43153,0.81058,0,0.98399,0.99655,0.99436,0.87626,0.98059,0.99309,0.99321,0.73495,0.54164,0.74438,0.36756,0.79966,0,0.00124509,0.00124509,0.00124509
15,247.86,0.63008,0.7485,0.42199,0.81162,0,0.97979,0.98864,0.99292,0.88035,0.97639,0.9853,0.9888,0.75083,0.54015,0.74464,0.37668,0.79788,0,0.00123094,0.00123094,0.00123094
16,264.195,0.61523,0.7246,0.41378,0.80915,0,0.98201,0.987,0.99425,0.87264,0.97855,0.98357,0.99252,0.73339,0.5801,0.80794,0.37401,0.80135,0,0.00121679,0.00121679,0.00121679
17,280.59,0.62372,0.74229,0.41647,0.81484,0,0.97992,0.99262,0.99353,0.89019,0.97648,0.98916,0.9922,0.74965,0.50922,0.72308,0.34176,0.79042,0,0.00120265,0.00120265,0.00120265
18,297.037,0.61975,0.72774,0.40335,0.81399,0,0.98692,0.99483,0.99455,0.87887,0.98346,0.99137,0.99389,0.73462,0.57449,0.75689,0.35248,0.80027,0,0.0011885,0.0011885,0.0011885
19,313.388,0.60707,0.71342,0.40076,0.8099,0,0.98813,0.99313,0.99364,0.8682,0.98476,0.98964,0.9919,0.74435,0.5914,0.79052,0.35494,0.8033,0,0.00117435,0.00117435,0.00117435
20,329.795,0.60683,0.72024,0.40145,0.80875,0,0.98803,0.99216,0.99414,0.88367,0.98628,0.99043,0.99347,0.75749,0.53022,0.7766,0.3432,0.79588,0,0.00116021,0.00116021,0.00116021
21,346.242,0.61025,0.71802,0.402,0.80877,0,0.98274,0.98964,0.99272,0.89333,0.98274,0.98964,0.99272,0.76631,0.50545,0.69875,0.34903,0.79328,0,0.00114606,0.00114606,0.00114606
22,362.658,0.59262,0.69787,0.39089,0.80702,0,0.98807,0.98965,0.99403,0.88996,0.98522,0.98597,0.99362,0.7744,0.51845,0.72065,0.33659,0.79396,0,0.00113191,0.00113191,0.00113191
23,379.101,0.58563,0.69892,0.38203,0.80667,0,0.99005,0.99754,0.99375,0.89848,0.98835,0.99582,0.99297,0.76893,0.47789,0.67816,0.32867,0.78929,0,0.00111776,0.00111776,0.00111776
24,395.426,0.5785,0.69201,0.37989,0.80642,0,0.98633,0.99123,0.99421,0.89821,0.98464,0.9895,0.99383,0.75768,0.49957,0.70542,0.33277,0.79965,0,0.00110362,0.00110362,0.00110362
25,411.823,0.56906,0.67996,0.37534,0.80512,0,0.9895,0.99364,0.99388,0.89001,0.98609,0.99019,0.99332,0.75613,0.52914,0.69516,0.32892,0.79891,0,0.00108947,0.00108947,0.00108947
26,428.189,0.56316,0.66454,0.36751,0.80728,0,0.98913,0.99707,0.99463,0.90785,0.98743,0.99535,0.99355,0.76906,0.47297,0.67198,0.31685,0.7872,0,0.00107532,0.00107532,0.00107532
27,444.632,0.54895,0.65714,0.3595,0.80415,0,0.9872,0.99392,0.99441,0.90762,0.98382,0.99047,0.994,0.77687,0.47962,0.63807,0.32084,0.78908,0,0.00106118,0.00106118,0.00106118
28,461.137,0.55599,0.66678,0.3652,0.80057,0,0.98903,0.99401,0.99434,0.90106,0.98727,0.99228,0.99388,0.78612,0.49865,0.64658,0.32477,0.78993,0,0.00104703,0.00104703,0.00104703
29,477.598,0.54114,0.65224,0.35587,0.80383,0,0.99016,0.99561,0.99481,0.90822,0.98847,0.99389,0.99417,0.77553,0.45929,0.63223,0.3112,0.78607,0,0.00103288,0.00103288,0.00103288
30,493.94,0.53068,0.64291,0.34829,0.80384,0,0.98637,0.99302,0.99387,0.90365,0.98468,0.99131,0.99387,0.79163,0.46838,0.6617,0.31473,0.78886,0,0.00101873,0.00101873,0.00101873
31,510.298,0.52991,0.64292,0.34657,0.80209,0,0.98959,0.99756,0.99463,0.90719,0.98959,0.99756,0.99463,0.77985,0.47942,0.64438,0.31711,0.78603,0,0.00100459,0.00100459,0.00100459
32,526.667,0.53171,0.6362,0.34455,0.80108,0,0.98709,0.99613,0.99288,0.9058,0.98709,0.99613,0.99288,0.78657,0.4729,0.66165,0.30462,0.78756,0,0.00099044,0.00099044,0.00099044
33,543.021,0.52723,0.64243,0.34015,0.79877,0,0.98886,0.99655,0.99464,0.90908,0.98712,0.99483,0.99374,0.78885,0.45702,0.68772,0.30875,0.7857,0,0.000976293,0.000976293,0.000976293
34,559.412,0.52912,0.62879,0.34071,0.79924,0,0.98986,0.99594,0.99476,0.91553,0.98816,0.99421,0.99432,0.79359,0.45188,0.6366,0.29814,0.7843,0,0.000962146,0.000962146,0.000962146
35,575.921,0.51752,0.63077,0.33902,0.801,0,0.99192,0.99482,0.99469,0.90625,0.99192,0.99482,0.99469,0.7722,0.45796,0.64176,0.29674,0.78674,0,0.000947999,0.000947999,0.000947999
36,592.259,0.51185,0.62032,0.33034,0.79628,0,0.9889,0.99793,0.99456,0.90647,0.98375,0.99277,0.99334,0.78184,0.46998,0.66157,0.2967,0.78712,0,0.000933851,0.000933851,0.000933851
37,608.684,0.51204,0.61679,0.3323,0.79775,0,0.99221,0.99954,0.99486,0.90453,0.99051,0.99781,0.9942,0.77212,0.48834,0.65753,0.29753,0.7916,0,0.000919704,0.000919704,0.000919704
38,625.04,0.51184,0.61944,0.33626,0.79915,0,0.98691,0.99334,0.99452,0.91349,0.98523,0.99161,0.99406,0.78942,0.46445,0.66914,0.31383,0.7879,0,0.000905557,0.000905557,0.000905557
39,641.515,0.50262,0.5988,0.33148,0.79676,0,0.98642,0.99689,0.99471,0.91478,0.98293,0.9917,0.99437,0.79252,0.4529,0.65769,0.29552,0.78643,0,0.00089141,0.00089141,0.00089141
40,658.014,0.50517,0.60782,0.32433,0.79549,0,0.99087,0.9963,0.99481,0.92022,0.98918,0.99457,0.99439,0.78327,0.43885,0.63632,0.28686,0.78312,0,0.000877263,0.000877263,0.000877263
41,674.54,0.50162,0.59829,0.32059,0.79591,0,0.99146,1,0.99469,0.9132,0.98633,0.99483,0.99399,0.78698,0.45363,0.65383,0.29426,0.78781,0,0.000863116,0.000863116,0.000863116
42,690.965,0.5015,0.60796,0.32066,0.79919,0,0.98715,0.99239,0.99476,0.92059,0.98699,0.98793,0.99416,0.79769,0.42714,0.61836,0.28641,0.77872,0,0.000848969,0.000848969,0.000848969
43,707.435,0.48968,0.58244,0.32005,0.7953,0,0.99243,0.99618,0.99457,0.91499,0.99073,0.99445,0.99356,0.77811,0.45319,0.62102,0.2949,0.78506,0,0.000834822,0.000834822,0.000834822
44,723.882,0.49934,0.6149,0.31663,0.79791,0,0.99249,0.99827,0.99477,0.91748,0.99249,0.99827,0.99477,0.80025,0.44486,0.62708,0.28389,0.78404,0,0.000820675,0.000820675,0.000820675
45,740.285,0.48329,0.58291,0.31185,0.79619,0,0.99087,0.99432,0.99396,0.92205,0.98742,0.99086,0.99189,0.80079,0.43323,0.6201,0.28536,0.78201,0,0.000806528,0.000806528,0.000806528
46,756.696,0.49233,0.58173,0.31286,0.79297,0,0.99056,0.99962,0.99478,0.92437,0.98632,0.99483,0.99449,0.79246,0.44245,0.6372,0.27408,0.78454,0,0.00079238,0.00079238,0.00079238
47,773.145,0.4892,0.5836,0.3153,0.79746,0,0.99016,1,0.99476,0.92095,0.98675,0.99655,0.99438,0.79601,0.43916,0.62768,0.28409,0.78372,0,0.000778233,0.000778233,0.000778233
48,789.618,0.48265,0.57296,0.31104,0.79438,0,0.98891,0.99655,0.99465,0.9151,0.98722,0.99483,0.99352,0.77986,0.45126,0.64354,0.28248,0.78384,0,0.000764086,0.000764086,0.000764086
49,805.929,0.48389,0.58074,0.31181,0.7942,0,0.99227,0.99448,0.99491,0.92357,0.98886,0.99104,0.99407,0.80456,0.43869,0.62472,0.28374,0.78073,0,0.000749939,0.000749939,0.000749939
50,822.269,0.48559,0.58831,0.3068,0.79761,0,0.99052,0.99827,0.99488,0.92087,0.98706,0.99482,0.99441,0.80267,0.43362,0.64019,0.27178,0.78107,0,0.000735792,0.000735792,0.000735792
51,838.712,0.47927,0.57791,0.30328,0.79373,0,0.9902,0.99827,0.99473,0.9232,0.98502,0.99309,0.99369,0.79159,0.44138,0.63876,0.27734,0.78094,0,0.000721645,0.000721645,0.000721645
52,855.185,0.4816,0.57447,0.30222,0.79361,0,0.9851,0.9991,0.99452,0.93126,0.9817,0.99564,0.99398,0.80269,0.42285,0.62525,0.2716,0.77877,0,0.000707498,0.000707498,0.000707498
53,871.634,0.47786,0.58293,0.29725,0.7954,0,0.99044,0.99939,0.99474,0.93036,0.98702,0.99594,0.99423,0.79984,0.41539,0.60292,0.2627,0.77894,0,0.000693351,0.000693351,0.000693351
54,888.006,0.47087,0.57858,0.29628,0.79411,0,0.99152,0.99803,0.99486,0.92937,0.98982,0.99631,0.99442,0.8009,0.42175,0.62047,0.26772,0.77961,0,0.000679204,0.000679204,0.000679204
55,904.486,0.47737,0.5692,0.29996,0.79344,0,0.98915,0.99682,0.99481,0.93208,0.98745,0.99509,0.99459,0.80739,0.40998,0.62431,0.26098,0.77641,0,0.000665057,0.000665057,0.000665057
56,920.989,0.46766,0.56329,0.29631,0.7915,0,0.98975,0.99514,0.99362,0.92521,0.98631,0.99169,0.9928,0.79666,0.421,0.63012,0.27294,0.77858,0,0.000650909,0.000650909,0.000650909
57,937.406,0.46972,0.5692,0.30004,0.79146,0,0.9915,0.99713,0.99481,0.9177,0.99022,0.99394,0.99426,0.79018,0.44173,0.62898,0.27278,0.78472,0,0.000636762,0.000636762,0.000636762
58,953.661,0.46721,0.56762,0.29676,0.79188,0,0.99212,0.99827,0.99483,0.92709,0.98872,0.99483,0.99387,0.81008,0.42366,0.61643,0.27113,0.77924,0,0.000622615,0.000622615,0.000622615
59,970.084,0.45956,0.55938,0.29442,0.79262,0,0.98893,1,0.99476,0.92653,0.98723,0.99827,0.99434,0.80094,0.41547,0.60326,0.26244,0.77855,0,0.000608468,0.000608468,0.000608468
60,986.529,0.45353,0.56321,0.28659,0.78987,0,0.9891,0.99827,0.99362,0.92701,0.98739,0.99655,0.99264,0.80276,0.42407,0.59354,0.26653,0.78012,0,0.000594321,0.000594321,0.000594321
61,1002.97,0.4623,0.56561,0.2889,0.79251,0,0.99122,0.9966,0.99462,0.93382,0.98952,0.99489,0.99362,0.80113,0.41222,0.60627,0.26501,0.77807,0,0.000580174,0.000580174,0.000580174
62,1019.24,0.46501,0.55144,0.2929,0.79545,0,0.99285,0.99708,0.99486,0.93083,0.99094,0.99467,0.99411,0.79476,0.41256,0.58629,0.26257,0.77826,0,0.000566027,0.000566027,0.000566027
63,1035.56,0.46342,0.56126,0.29259,0.79248,0,0.99199,0.99795,0.99447,0.92795,0.99199,0.99795,0.99447,0.7994,0.41766,0.62022,0.25871,0.78125,0,0.00055188,0.00055188,0.00055188
64,1051.88,0.45448,0.54947,0.2881,0.78991,0,0.99096,0.99694,0.99483,0.93049,0.98926,0.99521,0.99412,0.79947,0.41009,0.61596,0.26136,0.78031,0,0.000537733,0.000537733,0.000537733
65,1068.18,0.45074,0.54834,0.28527,0.79033,0,0.99039,0.99747,0.99437,0.92704,0.99039,0.99747,0.99437,0.80491,0.42299,0.61173,0.25905,0.78203,0,0.000523586,0.000523586,0.000523586
66,1084.51,0.44969,0.54359,0.28223,0.79125,0,0.99234,1,0.99491,0.93125,0.98919,0.99655,0.9943,0.81128,0.41509,0.61119,0.25838,0.77991,0,0.000509438,0.000509438,0.000509438
67,1100.97,0.45704,0.54522,0.28389,0.79362,0,0.99236,0.9985,0.99495,0.94029,0.99048,0.99655,0.99432,0.80774,0.39875,0.60233,0.25789,0.77647,0,0.000495291,0.000495291,0.000495291
68,1117.46,0.44263,0.54454,0.27961,0.79053,0,0.99272,0.99818,0.99483,0.93357,0.99051,0.99483,0.99394,0.80689,0.40663,0.5999,0.25715,0.77715,0,0.000481144,0.000481144,0.000481144
69,1133.86,0.4459,0.53633,0.27421,0.79063,0,0.99046,0.99655,0.99469,0.93151,0.98877,0.99483,0.99402,0.81254,0.40414,0.60046,0.25173,0.77774,0,0.000466997,0.000466997,0.000466997
70,1150.24,0.44391,0.5394,0.27716,0.79021,0,0.99222,0.99644,0.99483,0.93432,0.99051,0.99471,0.99438,0.8059,0.40786,0.59434,0.25303,0.7791,0,0.00045285,0.00045285,0.00045285
71,1166.73,0.44613,0.53468,0.27627,0.78845,0,0.99058,0.99969,0.9949,0.93685,0.99066,0.99828,0.9949,0.80444,0.39807,0.59011,0.25031,0.77614,0,0.000438703,0.000438703,0.000438703
72,1183.05,0.4417,0.54176,0.27243,0.78819,0,0.99084,0.99921,0.99486,0.93705,0.98877,0.99639,0.99447,0.80304,0.40649,0.58511,0.25054,0.77732,0,0.000424556,0.000424556,0.000424556
73,1199.25,0.43571,0.52523,0.27422,0.79057,0,0.99111,0.99779,0.99483,0.93178,0.98942,0.99606,0.9936,0.80292,0.40053,0.58338,0.25121,0.77452,0,0.000410409,0.000410409,0.000410409
74,1215.54,0.43385,0.52843,0.27235,0.78928,0,0.98998,0.99725,0.99476,0.93576,0.98791,0.99483,0.99376,0.80456,0.40137,0.6114,0.24805,0.77892,0,0.000396262,0.000396262,0.000396262
75,1231.89,0.43786,0.54337,0.2739,0.78579,0,0.99114,0.99963,0.9946,0.93685,0.98843,0.99599,0.99381,0.81712,0.39959,0.59839,0.24925,0.77578,0,0.000382115,0.000382115,0.000382115
76,1248.41,0.43766,0.54021,0.26602,0.78978,0,0.99086,0.99745,0.99433,0.9397,0.99086,0.99745,0.99433,0.80524,0.39149,0.59482,0.24781,0.77678,0,0.000367967,0.000367967,0.000367967
77,1264.91,0.43408,0.53019,0.26511,0.7881,0,0.99052,0.99828,0.99465,0.93471,0.99052,0.99828,0.99465,0.81333,0.40468,0.58324,0.24884,0.77724,0,0.00035382,0.00035382,0.00035382
78,1281.41,0.43579,0.53528,0.26847,0.78968,0,0.99334,0.99658,0.99495,0.93697,0.99275,0.99427,0.99456,0.80444,0.40073,0.59111,0.2501,0.77566,0,0.000339673,0.000339673,0.000339673
79,1297.85,0.42564,0.52129,0.26446,0.78653,0,0.99279,0.99904,0.99495,0.93926,0.98969,0.99631,0.99451,0.81756,0.39817,0.58311,0.24356,0.77679,0,0.000325526,0.000325526,0.000325526
80,1314.17,0.43102,0.52457,0.26644,0.78933,0,0.99109,0.99996,0.99486,0.93555,0.98853,0.99565,0.99453,0.81284,0.39708,0.5924,0.24661,0.77624,0,0.000311379,0.000311379,0.000311379
81,1330.6,0.42998,0.5261,0.26501,0.78669,0,0.99188,0.99945,0.99495,0.9373,0.99202,0.99705,0.99495,0.81446,0.40225,0.59363,0.24584,0.77811,0,0.000297232,0.000297232,0.000297232
82,1347.05,0.42781,0.52103,0.26308,0.79011,0,0.99242,0.99828,0.99493,0.93916,0.99072,0.99655,0.9946,0.81102,0.39948,0.59821,0.24601,0.77652,0,0.000283085,0.000283085,0.000283085
83,1363.34,0.4224,0.51468,0.25896,0.78665,0,0.99076,0.99828,0.99491,0.93476,0.98906,0.99655,0.99454,0.81601,0.39659,0.5961,0.2442,0.77696,0,0.000268938,0.000268938,0.000268938
84,1379.74,0.43122,0.52001,0.25996,0.7878,0,0.99486,0.9978,0.99495,0.94226,0.99303,0.99595,0.99455,0.81472,0.38805,0.58768,0.24561,0.77619,0,0.000254791,0.000254791,0.000254791
85,1396.31,0.4221,0.51631,0.25665,0.78495,0,0.99309,0.99655,0.99493,0.9411,0.99138,0.99483,0.99451,0.8141,0.38901,0.59349,0.2399,0.77525,0,0.000240644,0.000240644,0.000240644
86,1412.74,0.42439,0.519,0.25758,0.78827,0,0.99212,0.99886,0.99493,0.94372,0.99075,0.99552,0.99453,0.81351,0.38479,0.58446,0.23945,0.77514,0,0.000226497,0.000226497,0.000226497
87,1429.12,0.42303,0.52243,0.25675,0.78876,0,0.9928,0.99823,0.99495,0.94009,0.9911,0.99651,0.99424,0.80776,0.38677,0.59185,0.23856,0.77628,0,0.000212349,0.000212349,0.000212349
88,1445.5,0.41645,0.51206,0.25323,0.787,0,0.99273,0.99828,0.99495,0.94368,0.99103,0.99655,0.99437,0.8127,0.38968,0.59702,0.2395,0.77765,0,0.000198202,0.000198202,0.000198202
89,1461.93,0.41634,0.5144,0.25235,0.78676,0,0.99309,0.99828,0.99493,0.93982,0.99138,0.99655,0.99449,0.817,0.38665,0.58815,0.23835,0.77623,0,0.000184055,0.000184055,0.000184055
90,1478.36,0.41508,0.51015,0.25163,0.78581,0,0.9929,0.9984,0.99495,0.94055,0.9911,0.99655,0.99445,0.80989,0.39413,0.59139,0.23647,0.77774,0,0.000169908,0.000169908,0.000169908
