epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6327,0.76361,1.00948,1.3702,0.85855,0,0.3415,0.77265,0.29559,0.24387,0.3415,0.77265,0.29561,0.19526,0.70216,1.88793,inf,0.85354,0,0.000467977,0.000467977,0.000467977
2,53.5096,0.68105,0.83077,0.5845,0.84963,0,0.96127,0.92611,0.97519,0.82279,0.95594,0.92097,0.96151,0.71206,0.61337,1.36819,0.48998,0.82486,0,0.000938077,0.000938077,0.000938077
3,75.4938,0.69598,0.82536,0.53669,0.85114,0,0.92446,0.84272,0.93948,0.76913,0.92446,0.84272,0.93934,0.67622,0.69227,1.01994,0.80122,0.84592,0,0.00140189,0.00140189,0.00140189
4,97.522,0.68532,0.83053,0.49908,0.85312,0,0.93284,0.92066,0.96928,0.79544,0.93034,0.9163,0.96616,0.69091,0.71823,0.90267,0.50716,0.87693,0,0.00140071,0.00140071,0.00140071
5,119.313,0.66301,0.79865,0.47639,0.84645,0,0.97402,0.97621,0.98833,0.82008,0.97057,0.97274,0.98514,0.71413,0.64165,0.91322,0.42061,0.82739,0,0.00139127,0.00139127,0.00139127
6,141.038,0.64909,0.77385,0.43763,0.84206,0,0.966,0.94675,0.98458,0.8349,0.966,0.94675,0.98458,0.7489,0.61752,0.8025,0.4385,0.82964,0,0.00138184,0.00138184,0.00138184
7,162.871,0.64207,0.78171,0.44501,0.84,0,0.97511,0.96943,0.99004,0.86313,0.9717,0.96596,0.98762,0.73793,0.56114,0.79619,0.39489,0.80743,0,0.00137241,0.00137241,0.00137241
8,184.729,0.64041,0.7618,0.41287,0.83802,0,0.96867,0.97586,0.98556,0.86421,0.9686,0.97298,0.98437,0.75201,0.52157,0.76073,0.37919,0.80973,0,0.00136298,0.00136298,0.00136298
9,206.526,0.61444,0.73989,0.40152,0.83176,0,0.97607,0.99267,0.9916,0.85671,0.97439,0.99093,0.99135,0.73692,0.60556,0.76237,0.36367,0.82267,0,0.00135355,0.00135355,0.00135355
10,228.239,0.6179,0.72931,0.40508,0.83261,0,0.98636,0.99037,0.99453,0.89317,0.98636,0.99037,0.99453,0.77286,0.48468,0.7044,0.33876,0.79682,0,0.00134412,0.00134412,0.00134412
11,250.096,0.61334,0.72338,0.38513,0.83046,0,0.9881,0.9863,0.99438,0.88508,0.9881,0.9863,0.99438,0.7591,0.48539,0.73326,0.33977,0.79436,0,0.00133469,0.00133469,0.00133469
12,271.788,0.5875,0.68847,0.37325,0.82354,0,0.9678,0.93611,0.98272,0.81808,0.9678,0.93611,0.98209,0.71711,0.69401,1.03479,0.46814,0.84235,0,0.00132525,0.00132525,0.00132525
13,293.574,0.59557,0.70322,0.38221,0.82262,0,0.98282,0.98423,0.99363,0.88408,0.98282,0.98423,0.99363,0.77819,0.52123,0.6976,0.32826,0.79832,0,0.00131582,0.00131582,0.00131582
14,315.33,0.58841,0.71067,0.37301,0.822,0,0.97231,0.97977,0.99188,0.87597,0.97058,0.97803,0.9912,0.75723,0.53402,0.74869,0.33437,0.80477,0,0.00130639,0.00130639,0.00130639
15,337.087,0.60177,0.71379,0.36667,0.82783,0,0.98189,0.98221,0.99277,0.88078,0.97841,0.97876,0.98931,0.749,0.51031,0.7397,0.32802,0.79956,0,0.00129696,0.00129696,0.00129696
16,358.798,0.57699,0.68432,0.35389,0.82214,0,0.98576,0.98103,0.99429,0.8822,0.98434,0.97784,0.99397,0.7736,0.53315,0.72889,0.32542,0.8009,0,0.00128753,0.00128753,0.00128753
17,380.556,0.56697,0.68256,0.35303,0.82079,0,0.97857,0.98257,0.99346,0.88011,0.97506,0.97913,0.99245,0.75111,0.53624,0.81139,0.32483,0.79857,0,0.0012781,0.0012781,0.0012781
18,402.295,0.56392,0.66699,0.34314,0.81643,0,0.98391,0.99106,0.99425,0.89286,0.98391,0.99106,0.99425,0.77093,0.49633,0.70483,0.29792,0.79669,0,0.00126867,0.00126867,0.00126867
19,424.049,0.56335,0.66839,0.34666,0.8157,0,0.98941,0.9924,0.99435,0.88801,0.98771,0.99066,0.99424,0.76526,0.53451,0.70939,0.30275,0.80354,0,0.00125923,0.00125923,0.00125923
20,445.79,0.5734,0.68773,0.34576,0.81878,0,0.98704,0.9944,0.99423,0.87686,0.9836,0.99099,0.9933,0.76651,0.54621,0.77045,0.30803,0.80764,0,0.0012498,0.0012498,0.0012498
21,467.546,0.56167,0.65838,0.3386,0.81824,0,0.98456,0.99168,0.99427,0.90005,0.98285,0.98995,0.99366,0.77004,0.47685,0.67676,0.28903,0.79344,0,0.00124037,0.00124037,0.00124037
22,489.402,0.54772,0.64911,0.33773,0.81728,0,0.99343,0.98603,0.99475,0.899,0.98989,0.98259,0.99251,0.77102,0.48141,0.73214,0.28865,0.79216,0,0.00123094,0.00123094,0.00123094
23,511.115,0.53157,0.63687,0.3287,0.81367,0,0.99406,0.98443,0.99451,0.87206,0.99406,0.98443,0.99451,0.75963,0.57174,0.80534,0.30877,0.80845,0,0.00122151,0.00122151,0.00122151
24,532.839,0.535,0.65272,0.32242,0.81356,0,0.98809,0.98836,0.99475,0.88628,0.98941,0.987,0.99466,0.76969,0.51489,0.72272,0.28903,0.80059,0,0.00121208,0.00121208,0.00121208
25,554.574,0.5222,0.62528,0.31626,0.81233,0,0.99034,0.98285,0.99436,0.90712,0.98862,0.98112,0.99424,0.77738,0.46163,0.68175,0.2844,0.78955,0,0.00120265,0.00120265,0.00120265
26,576.379,0.50493,0.61817,0.31481,0.81274,0,0.97819,0.98356,0.99275,0.88976,0.97645,0.98182,0.99255,0.76082,0.49411,0.72644,0.30166,0.79507,0,0.00119322,0.00119322,0.00119322
27,598.13,0.51422,0.62091,0.31713,0.8104,0,0.99309,0.99396,0.99455,0.90263,0.99309,0.99396,0.99455,0.78498,0.45022,0.66615,0.27799,0.79036,0,0.00118378,0.00118378,0.00118378
28,619.998,0.49738,0.59595,0.30827,0.80517,0,0.99569,0.99147,0.99464,0.90983,0.99569,0.99147,0.99464,0.80932,0.44311,0.63157,0.26571,0.78925,0,0.00117435,0.00117435,0.00117435
29,641.852,0.49747,0.60642,0.30566,0.80779,0,0.99137,0.99233,0.99486,0.89577,0.99137,0.99233,0.99486,0.78992,0.47022,0.65154,0.2806,0.78977,0,0.00116492,0.00116492,0.00116492
30,663.574,0.48892,0.59619,0.29812,0.80683,0,0.99457,0.99204,0.99486,0.91995,0.99457,0.99204,0.99486,0.80247,0.43156,0.63891,0.25868,0.78348,0,0.00115549,0.00115549,0.00115549
31,685.433,0.48543,0.59324,0.2973,0.80887,0,0.99205,0.99191,0.99458,0.91333,0.99033,0.99018,0.9945,0.78777,0.44995,0.68246,0.26395,0.78892,0,0.00114606,0.00114606,0.00114606
32,707.172,0.47924,0.59584,0.29465,0.80342,0,0.99202,0.99227,0.99427,0.9236,0.99202,0.99227,0.99427,0.80651,0.4317,0.66231,0.26925,0.78325,0,0.00113663,0.00113663,0.00113663
33,728.996,0.47799,0.57734,0.29141,0.80726,0,0.98987,0.99485,0.99451,0.91637,0.98533,0.99692,0.99444,0.79823,0.42527,0.63629,0.25799,0.78538,0,0.0011272,0.0011272,0.0011272
34,750.748,0.4749,0.57096,0.28899,0.80323,0,0.99075,0.99063,0.99486,0.91147,0.99075,0.99063,0.99486,0.78624,0.43977,0.68184,0.26367,0.7864,0,0.00111776,0.00111776,0.00111776
35,772.507,0.47662,0.57963,0.28731,0.80449,0,0.99738,0.99318,0.99497,0.91758,0.99738,0.99318,0.99497,0.80356,0.43703,0.61865,0.25616,0.78493,0,0.00110833,0.00110833,0.00110833
36,794.25,0.47423,0.56601,0.28776,0.80118,0,0.99394,0.988,0.99483,0.92131,0.99394,0.988,0.99483,0.79769,0.41476,0.63146,0.25741,0.78219,0,0.0010989,0.0010989,0.0010989
37,815.994,0.47051,0.57203,0.29034,0.80394,0,0.99339,0.99143,0.99462,0.92489,0.99339,0.99143,0.99462,0.81191,0.40794,0.64082,0.25266,0.78556,0,0.00108947,0.00108947,0.00108947
38,837.839,0.46247,0.57337,0.2817,0.8011,0,0.99538,0.99186,0.99471,0.91446,0.99538,0.99186,0.99471,0.78578,0.43409,0.64578,0.26067,0.78708,0,0.00108004,0.00108004,0.00108004
39,859.58,0.46617,0.56255,0.28107,0.80187,0,0.99296,0.99546,0.99485,0.9281,0.99296,0.99546,0.99485,0.80938,0.41434,0.62214,0.24682,0.78398,0,0.00107061,0.00107061,0.00107061
40,881.392,0.46038,0.56312,0.27728,0.79953,0,0.99236,0.99553,0.99493,0.91831,0.99236,0.99553,0.99493,0.80829,0.42716,0.63551,0.25047,0.78352,0,0.00106118,0.00106118,0.00106118
41,903.155,0.4555,0.5485,0.27844,0.79648,0,0.99454,0.9951,0.99488,0.93201,0.99454,0.9951,0.99488,0.80195,0.39545,0.64473,0.23864,0.78,0,0.00105174,0.00105174,0.00105174
42,924.904,0.45579,0.54875,0.27446,0.79895,0,0.99639,0.99592,0.99493,0.92705,0.99639,0.99592,0.99493,0.79785,0.41024,0.62194,0.24334,0.78337,0,0.00104231,0.00104231,0.00104231
43,946.632,0.455,0.55925,0.27548,0.79956,0,0.99715,0.99461,0.99491,0.91247,0.99715,0.99461,0.99491,0.81116,0.47246,0.6625,0.25293,0.79063,0,0.00103288,0.00103288,0.00103288
44,968.393,0.44844,0.55105,0.27156,0.79938,0,0.99896,0.99057,0.9949,0.92541,0.99896,0.99057,0.99487,0.82436,0.41475,0.61028,0.24189,0.78011,0,0.00102345,0.00102345,0.00102345
45,990.232,0.44409,0.54374,0.26551,0.80069,0,0.99708,0.99304,0.9949,0.92636,0.99708,0.99304,0.9949,0.80735,0.40824,0.60894,0.23852,0.77938,0,0.00101402,0.00101402,0.00101402
46,1011.94,0.44967,0.54549,0.27345,0.79615,0,0.99686,0.99485,0.99492,0.92233,0.99686,0.99485,0.99492,0.80588,0.41307,0.6445,0.2413,0.78326,0,0.00100459,0.00100459,0.00100459
47,1033.69,0.44886,0.54061,0.2693,0.799,0,0.99809,0.9926,0.99495,0.93591,0.99572,0.98941,0.99485,0.81817,0.38476,0.62424,0.22929,0.77682,0,0.000995156,0.000995156,0.000995156
48,1055.51,0.44163,0.53471,0.2643,0.79859,0,0.99811,0.99247,0.99492,0.92555,0.99811,0.99247,0.99492,0.81926,0.40832,0.62435,0.23549,0.77717,0,0.000985724,0.000985724,0.000985724
49,1077.29,0.44914,0.52846,0.26646,0.80129,0,0.99503,0.99314,0.99476,0.92931,0.99503,0.99314,0.99476,0.81987,0.40573,0.6206,0.23762,0.78104,0,0.000976293,0.000976293,0.000976293
50,1099.09,0.43013,0.52361,0.25881,0.79648,0,0.99632,0.99412,0.99478,0.92587,0.99632,0.99412,0.99478,0.80813,0.40935,0.64148,0.24144,0.77947,0,0.000966861,0.000966861,0.000966861
51,1120.87,0.43345,0.523,0.25993,0.79587,0,0.99075,0.99318,0.99483,0.93108,0.99075,0.99318,0.99483,0.82337,0.39638,0.61413,0.2326,0.77481,0,0.00095743,0.00095743,0.00095743
52,1142.75,0.43362,0.51533,0.26249,0.79849,0,0.99587,0.99509,0.99478,0.93694,0.99587,0.99509,0.99478,0.81607,0.38896,0.60588,0.23042,0.77628,0,0.000947999,0.000947999,0.000947999
53,1164.67,0.43646,0.5162,0.2551,0.79977,0,0.99282,0.9959,0.99486,0.92942,0.99661,0.98864,0.99395,0.82154,0.39273,0.61127,0.23684,0.77825,0,0.000938567,0.000938567,0.000938567
54,1186.36,0.42949,0.51646,0.2591,0.79299,0,0.99113,0.98495,0.99465,0.93708,0.99049,0.98258,0.99436,0.82087,0.38365,0.61474,0.22905,0.77577,0,0.000929136,0.000929136,0.000929136
55,1208.15,0.42802,0.52698,0.25613,0.79629,0,0.99185,0.99314,0.99437,0.93299,0.99185,0.99314,0.99437,0.81653,0.40567,0.64819,0.23606,0.78056,0,0.000919704,0.000919704,0.000919704
56,1229.87,0.42732,0.50685,0.25732,0.79429,0,0.99243,0.99025,0.99449,0.93807,0.9907,0.98851,0.99439,0.81325,0.39485,0.5999,0.23335,0.77703,0,0.000910273,0.000910273,0.000910273
57,1251.56,0.42131,0.50673,0.25511,0.79447,0,0.99345,0.9911,0.99474,0.93732,0.992,0.98925,0.99468,0.82807,0.37985,0.61794,0.22743,0.77549,0,0.000900842,0.000900842,0.000900842
58,1273.37,0.42044,0.51111,0.25041,0.7956,0,0.99539,0.9959,0.99488,0.93552,0.99539,0.9959,0.99488,0.81632,0.38988,0.61037,0.2269,0.7766,0,0.00089141,0.00089141,0.00089141
59,1295.08,0.42315,0.51605,0.253,0.79669,0,0.99382,0.98972,0.99432,0.93654,0.99231,0.9884,0.99421,0.81611,0.38585,0.60314,0.22738,0.77554,0,0.000881979,0.000881979,0.000881979
60,1316.76,0.4225,0.51516,0.25804,0.79573,0,0.99339,0.99066,0.99469,0.91653,0.99339,0.99066,0.99469,0.78862,0.43167,0.73044,0.24245,0.78379,0,0.000872547,0.000872547,0.000872547
61,1338.5,0.41748,0.51106,0.25019,0.79672,0,0.99738,0.99314,0.99495,0.94042,0.99566,0.99143,0.99475,0.82846,0.3783,0.59537,0.22048,0.77233,0,0.000863116,0.000863116,0.000863116
62,1360.35,0.4179,0.51055,0.24854,0.79652,0,0.99,0.9886,0.99461,0.93463,0.99,0.9886,0.99461,0.81288,0.38689,0.59132,0.23075,0.77509,0,0.000853685,0.000853685,0.000853685
63,1382.08,0.42555,0.51324,0.25152,0.79415,0,0.99387,0.98957,0.99488,0.93426,0.99387,0.98957,0.99488,0.82501,0.37985,0.60509,0.22376,0.77417,0,0.000844253,0.000844253,0.000844253
64,1403.83,0.40751,0.50428,0.24483,0.79628,0,0.9968,0.99198,0.99488,0.94163,0.99507,0.99027,0.99481,0.82146,0.36967,0.59064,0.21769,0.77162,0,0.000834822,0.000834822,0.000834822
65,1425.56,0.41409,0.51075,0.24817,0.79442,0,0.99672,0.99658,0.99488,0.94525,0.99672,0.99658,0.99488,0.81673,0.37074,0.59177,0.21342,0.77409,0,0.00082539,0.00082539,0.00082539
66,1447.29,0.40972,0.50403,0.24138,0.79228,0,0.9956,0.99485,0.99493,0.93748,0.9956,0.99485,0.99493,0.81886,0.37901,0.60145,0.21447,0.77307,0,0.000815959,0.000815959,0.000815959
67,1469.06,0.41188,0.50342,0.24395,0.79244,0,0.99583,0.99646,0.99497,0.94258,0.99583,0.99646,0.99497,0.81681,0.36807,0.6152,0.21125,0.77161,0,0.000806528,0.000806528,0.000806528
