epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,102.936,0.8048,0.95181,1.41347,0.83188,0,0.98285,0.98989,0.9932,0.8443,0.97987,0.98687,0.99186,0.662,0.59423,0.77816,0.59303,0.80363,0,0.00998224,0.00332741,0.00998224,0.00332741,0.00998224,0.00332741,0.00998224,0.00332741
2,197.451,0.75855,0.80053,0.68647,0.82919,0,0.98902,0.9942,0.99378,0.81082,0.98828,0.99264,0.99363,0.68712,0.73784,0.83491,0.46132,0.82337,0,0.0197844,0.0065948,0.0197844,0.0065948,0.0197844,0.0065948,0.0197844,0.0065948
3,287.879,0.77746,0.8027,0.59119,0.83622,0,0.98413,0.98787,0.9931,0.83032,0.98244,0.98618,0.99283,0.70058,0.67671,0.83341,0.43726,0.81639,0,0.0293886,0.0097962,0.0293886,0.0097962,0.0293886,0.0097962,0.0293886,0.0097962
4,377.322,0.74153,0.78662,0.51047,0.83175,0,0.98948,0.99393,0.99433,0.86332,0.98847,0.99291,0.99419,0.71893,0.58049,0.70575,0.38588,0.80002,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,466.09,0.69674,0.75512,0.44721,0.82483,0,0.99057,0.99526,0.99418,0.86724,0.9893,0.99369,0.99403,0.71112,0.59094,0.71852,0.36471,0.79933,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,555.047,0.66479,0.73246,0.41679,0.81883,0,0.99297,0.99532,0.99445,0.89676,0.99163,0.99398,0.99432,0.72858,0.48396,0.65465,0.32595,0.79032,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,643.688,0.64697,0.71054,0.39798,0.81637,0,0.99021,0.99616,0.99454,0.88753,0.99092,0.99239,0.99447,0.74474,0.53202,0.67942,0.32887,0.79351,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,732.951,0.63044,0.69557,0.38206,0.81278,0,0.99017,0.99682,0.99469,0.88,0.98848,0.99515,0.99462,0.72744,0.56132,0.69385,0.32467,0.79515,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,821.606,0.62297,0.69579,0.37603,0.81244,0,0.99027,0.9973,0.99448,0.89025,0.98894,0.99596,0.99446,0.73975,0.5316,0.67318,0.31749,0.79367,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,911.056,0.6168,0.68973,0.36908,0.80985,0,0.99013,0.99527,0.99453,0.89785,0.98914,0.99375,0.99449,0.74541,0.50155,0.66932,0.30693,0.78896,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,999.991,0.60746,0.67799,0.35914,0.80813,0,0.99076,0.99426,0.99467,0.88512,0.98993,0.99289,0.99452,0.72299,0.54726,0.67456,0.31438,0.79445,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1089.03,0.59908,0.67618,0.3528,0.80762,0,0.99261,0.99858,0.99477,0.89669,0.99119,0.99688,0.99471,0.74769,0.5096,0.67844,0.29364,0.7878,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1178.03,0.59527,0.67193,0.34955,0.80775,0,0.99242,0.99415,0.99457,0.88428,0.99127,0.99223,0.99453,0.72316,0.53605,0.66631,0.30271,0.78919,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1266.97,0.5933,0.66771,0.34422,0.80567,0,0.99303,0.99824,0.99488,0.90235,0.99169,0.99689,0.9948,0.74572,0.49576,0.65957,0.28959,0.78673,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
